"","precio","superficie","distrito","fecha","ciudad","tipo"
"184",450000,400,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"185",36000,23,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"186",140000,85,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"187",65000,30,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"188",220000,60,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"189",295000,169,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"190",720000,150,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"191",32000,33,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"192",185000,70,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"193",219000,74,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"194",666000,520,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"195",452000,200,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"196",470000,99,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"197",720000,150,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"198",720000,150,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"199",425000,220,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"200",4e+06,4132,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"201",1e+07,8112,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"202",98000,30,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"203",80000,64,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"204",380000,170,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"205",55000,22,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"206",1e+07,4000,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"207",185000,72,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"208",1200000,420,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"209",70000,54,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"210",120000,91,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"211",40000,70,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"212",450000,106,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"213",425000,300,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"214",2e+05,108,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"215",96000,63,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"216",175000,117,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"217",185000,100,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"218",5e+05,460,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"219",415000,130,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"220",3e+05,280,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"221",92000,67,"barajas","Thu Jan 05 19:20:24 2017","madrid","venta"
"222",140000,209,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"223",55000,60,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"224",175000,79,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"225",795000,953,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"226",60000,110,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"227",7500,120,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"228",78000,89,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"229",1210000,554,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"230",145000,300,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"231",450000,591,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"232",230000,239,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"233",47000,52,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"234",160000,116,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"235",310000,180,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"236",125000,142,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"237",540000,270,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"238",45000,69,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"239",159500,200,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"240",540000,270,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"241",149000,147,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"242",190000,230,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"243",4e+05,238,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
